wheel;(255,255,0,80)
car;(0, 0, 142, 80)
bus;(0, 60, 100, 80)
truck;(0, 0, 70, 80)
bicycle;(255, 0, 0, 80)
motorcycle;(0, 0, 230, 80)
person;(220, 20, 60, 80)
road;(128, 64, 128, 80)
traffic_sign;(220, 220, 0, 80)
obstacle;(153, 153, 153, 80)
background;(70, 130, 180, 80)
sidewalk;(244, 35, 232, 80)
building;(70, 70, 70, 80)
wall;(102, 102, 156, 80)
fence;(190, 153, 153, 80)
pole;(153, 153, 153, 80)
traffic_light;(250, 170, 30, 80)
vegetation;(107, 142, 35, 80)
terrain;(152, 251, 152, 80)
sky;(70, 130, 180, 80)
rider;(255, 0, 0, 80)
train;(0, 80, 100, 80)
laneline;(255, 255, 0, 80)
bai_shixian;(255, 0, 0, 80)
bai_xuxian;(0, 0, 255, 80)
huang_shixian;(255, 0, 255, 80)
huang_xuxian;(0, 255, 0, 80)
