tezhengdian;(12, 5, 12, 5)
renlian;(60, 0, 142, 80)
shouji;(0, 0, 230, 80)
shou;(220, 20, 60, 80)
yan;(0, 60, 100, 80)
baishixian;(128, 64, 128, 80)
baixuxian;(0, 0, 142, 80)
huangshixian;(0, 60, 100, 80)
huangxuxian;(0, 0, 70, 80)
road;(128, 64, 128, 80)
car;(0, 0, 142, 80)
bus;(0, 60, 100, 80)
truck;(0, 0, 70, 80)
bicycle;(255, 0, 0, 80)
motorcycle;(0, 0, 230, 80)
person;(220, 20, 60, 80)
traffic_sign;(220, 220, 0, 80)
obstacle;(153, 153, 153, 80)
background;(70, 130, 180, 80)
wheel;(0, 0, 142, 80)
